Sentences,Label
"Wer glaubt, es ginge den Parteien um das Gemeinwohl, ist ein unverbesserlicher Träumer",0
"Jetzt kneift Fischer. Warum wählen wir die, die gewählt werden wollten, um Verantwortung zu übernehmen und zu tragen? Warum wählen wir eigentlich noch?",0
"Wann zieht unser Bürgermeister endlich Konsequenzen und legt die Verantwortung für die Leitung der Bildungsbehörde in die Hände von jemanden, der sein Handwerk versteht? Oder hat die CDU keine geeignete Person für diese Funktion? Was die Frau Senatorin anfasst, gerät zum Desaster. Alle Welt betont, wie wichtig Bildung für die nachwachsende Generation ist. In der täglichen Praxis ist davon aber nichts zu spüren. Im Gegenteil. Nach Herrn Lange darf auf diesem wichtigen Sektor erneut jemand sein Unwesen treiben, der offenkundig für dieses Amt nicht ausreichend qualifiziert ist.",0
"Diese Jobs bieten meiner Meinung nach langfristig keine Perspektive. Wie die 1-Euro-Jobs, von denen keiner in eine gerecht bezahlte Arbeit gebracht wurde. Eine Gewissenserleichterung für Politiker und Unternehmer, eine Sparmaßnahme für Länder und Kommunen. Im Gegenzug: Kahlschlag bei Siemens, Stellen in Gefahr bei Allianz, der Telekom und anderen. Hier kann sich doch nur noch etwas ändern, wenn sich der kapitalistische Grundgedanke ändert!",0
"Der Wunsch Ihres Kommentators, die Lebensverhältnisse der Armutsflüchtlinge in deren Herkunftsländern zu verbessern, ist richtig. Seine Forderung jedoch, das ""Tor Europa"" allen Armen Afrikas weit zu öffnen, halte ich für Blödsinn. Die EU-Mitgliedstaaten sind schon mit ihrer eigenen Integration überfordert.",0
"Sie schreiben über die Pensionen der ehemaligen Minister, der Finanzminister sei nicht kompetent genug und zu teuer gewesen. Wie soll denn ein fähigerer Minister gefunden werden, wenn jede mittelständische Firma für weit weniger Verantwortung das Vielfache eines Ministergehaltes zahlt?",0
"Der Wähler kann zu der Linkspartei stehen, wie er will, Tatsache ist doch: Es ist eine demokratisch gewählte Partei und dieser steht das Recht zu, einen Vize zu stellen. Wer das sein soll, bestimmt die Fraktion und kein anderer. Das merkwürdige Demokratieverständnis unserer Abgeordneten ist schon sehr bedenklich. Intoleranz ist wahrscheinlich noch milde ausgedrückt.",0
"Während in Schulen Patriotismus gelehrt werden soll, üben deutsche Firmen und Wirtschaftsbosse ihre Art von Patriotismus im Ausland - mit deutschen Subventionen. So kann natürlich wieder nur an der Bevölkerung, dem ""Souverän"", gespart werden, während die Regierung mit der Wirtschaft unter einer Decke steckt und subventioniert.",0
"Was sind das für Vorbilder für unsere Kinder und Enkel?! Diese Lehrer sollten in eine Entziehungskur gehen - auf eigene Kosten - möglichst ohne Gehalt. Ich kenne mehrere Lehrer, die mit Herz und Verstand und ohne Nikotin ihren Beruf ausüben. Weshalb gibt es kein Gespräch ohne Qualm? Das Problem ist doch die Sucht, so einfach ist das.",0
"Offensichtlich hat die Bildungselite nicht wirklich Interesse an einem sozial gerechteren Schulsystem. Denn ohne die lästige Konkurrenz aus den ""unteren"" Schichten schaffen sie ihren eigenen Kindern bessere Zukunftschancen.",0
