#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=T02/AUG.41282 die tageszeitung, 27.08.2002, S. 24, Ressort: Schlagseite; Lob der Bescheidenheit ### Wir müssten so ein bisschen daraus gelernt haben. ### Die #Empörung# in der Öffentlichkeit zeigt, dass sich unsere Fans nicht daran gewöhnt haben, und das gilt für uns genau so. ### Wir wussten, dass es nicht leicht wird, Rost, Bode und Frings zu ersetzen. Wenn ich die Garantie hätte, dass wir nach einem vermasselten Start wieder im UEFA-Cup landen, wäre ich gelassener.
1-1	720-723	T02	_	_	_	_	_	_	_	_	_	_	
1-2	723-724	/	_	_	_	_	_	_	_	_	_	_	
1-3	724-727	AUG	_	_	_	_	_	_	_	_	_	_	
1-4	727-733	.41282	_	_	_	_	_	_	_	_	_	_	
1-5	734-737	die	_	_	_	_	_	_	_	_	_	_	
1-6	738-750	tageszeitung	_	_	_	_	_	_	_	_	_	_	
1-7	750-751	,	_	_	_	_	_	_	_	_	_	_	
1-8	752-762	27.08.2002	_	_	_	_	_	_	_	_	_	_	
1-9	762-763	,	_	_	_	_	_	_	_	_	_	_	
1-10	764-765	S	_	_	_	_	_	_	_	_	_	_	
1-11	765-766	.	_	_	_	_	_	_	_	_	_	_	
1-12	767-769	24	_	_	_	_	_	_	_	_	_	_	
1-13	769-770	,	_	_	_	_	_	_	_	_	_	_	
1-14	771-778	Ressort	_	_	_	_	_	_	_	_	_	_	
1-15	778-779	:	_	_	_	_	_	_	_	_	_	_	
1-16	780-791	Schlagseite	_	_	_	_	_	_	_	_	_	_	
1-17	791-792	;	_	_	_	_	_	_	_	_	_	_	
1-18	793-796	Lob	_	_	_	_	_	_	_	_	_	_	
1-19	797-800	der	_	_	_	_	_	_	_	_	_	_	
1-20	801-815	Bescheidenheit	_	_	_	_	_	_	_	_	_	_	
1-21	816-817	#	_	_	_	_	_	_	_	_	_	_	
1-22	817-818	#	_	_	_	_	_	_	_	_	_	_	
1-23	818-819	#	_	_	_	_	_	_	_	_	_	_	
1-24	820-823	Wir	_	_	_	_	_	_	_	_	_	_	
1-25	824-831	müssten	_	_	_	_	_	_	_	_	_	_	
1-26	832-834	so	_	_	_	_	_	_	_	_	_	_	
1-27	835-838	ein	_	_	_	_	_	_	_	_	_	_	
1-28	839-847	bisschen	_	_	_	_	_	_	_	_	_	_	
1-29	848-854	daraus	_	_	_	_	_	_	_	_	_	_	
1-30	855-862	gelernt	_	_	_	_	_	_	_	_	_	_	
1-31	863-868	haben	_	_	_	_	_	_	_	_	_	_	
1-32	868-869	.	_	_	_	_	_	_	_	_	_	_	
1-33	870-871	#	_	_	_	_	_	_	_	_	_	_	
1-34	871-872	#	_	_	_	_	_	_	_	_	_	_	
1-35	872-873	#	_	_	_	_	_	_	_	_	_	_	
1-36	874-877	Die	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-37	878-879	#	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-38	879-887	Empörung	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-39	887-888	#	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-40	889-891	in	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-41	892-895	der	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-42	896-910	Öffentlichkeit	*[1]|*[2]|*[3]	Moralisierung Kontext[1]|*[2]|*[3]	*[1]|*[2]|Betrayal[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|Darstellung[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	*[1]|*[2]|*[3]	
1-43	911-916	zeigt	*[1]|*[2]	Moralisierung Kontext[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|Darstellung[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	
1-44	916-917	,	*[1]|*[2]	Moralisierung Kontext[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|Darstellung[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	*[1]|*[2]	
1-45	918-922	dass	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-46	923-927	sich	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-47	928-934	unsere	*[1]|*[2]|*[4]|*[5]	Moralisierung Kontext[1]|*[2]|*[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|Darstellung[2]|*[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|*[2]|*[4]|Forderer:in[5]	*[1]|*[2]|*[4]|soziale Gruppe[5]	*[1]|*[2]|*[4]|Own Group[5]	
1-48	935-939	Fans	*[1]|*[2]|*[4]|*[5]	Moralisierung Kontext[1]|*[2]|*[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|Darstellung[2]|*[4]|*[5]	*[1]|*[2]|*[4]|*[5]	*[1]|*[2]|*[4]|Forderer:in[5]	*[1]|*[2]|*[4]|soziale Gruppe[5]	*[1]|*[2]|*[4]|Own Group[5]	
1-49	940-945	nicht	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-50	946-951	daran	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-51	952-959	gewöhnt	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-52	960-965	haben	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-53	965-966	,	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-54	967-970	und	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-55	971-974	das	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-56	975-979	gilt	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-57	980-983	für	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-58	984-987	uns	*[1]|*[2]|*[4]|*[6]	Moralisierung Kontext[1]|*[2]|*[4]|*[6]	*[1]|*[2]|*[4]|*[6]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]|*[6]	*[1]|*[2]|*[4]|*[6]	*[1]|Darstellung[2]|*[4]|*[6]	*[1]|*[2]|*[4]|*[6]	*[1]|*[2]|*[4]|*[6]	*[1]|*[2]|*[4]|Institution[6]	*[1]|*[2]|*[4]|*[6]	
1-59	988-993	genau	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-60	994-996	so	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-61	996-997	.	*[1]|*[2]|*[4]	Moralisierung Kontext[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|Wir haben Fehler gemacht und müssten daraus gelernt haben, müssten unser Verhalten verändern.[4]	*[1]|*[2]|*[4]	*[1]|Darstellung[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	*[1]|*[2]|*[4]	
1-62	998-999	#	_	_	_	_	_	_	_	_	_	_	
1-63	999-1000	#	_	_	_	_	_	_	_	_	_	_	
1-64	1000-1001	#	_	_	_	_	_	_	_	_	_	_	
1-65	1002-1005	Wir	_	_	_	_	_	_	_	_	_	_	
1-66	1006-1013	wussten	_	_	_	_	_	_	_	_	_	_	
1-67	1013-1014	,	_	_	_	_	_	_	_	_	_	_	
1-68	1015-1019	dass	_	_	_	_	_	_	_	_	_	_	
1-69	1020-1022	es	_	_	_	_	_	_	_	_	_	_	
1-70	1023-1028	nicht	_	_	_	_	_	_	_	_	_	_	
1-71	1029-1035	leicht	_	_	_	_	_	_	_	_	_	_	
1-72	1036-1040	wird	_	_	_	_	_	_	_	_	_	_	
1-73	1040-1041	,	_	_	_	_	_	_	_	_	_	_	
1-74	1042-1046	Rost	_	_	_	_	_	_	_	_	_	_	
1-75	1046-1047	,	_	_	_	_	_	_	_	_	_	_	
1-76	1048-1052	Bode	_	_	_	_	_	_	_	_	_	_	
1-77	1053-1056	und	_	_	_	_	_	_	_	_	_	_	
1-78	1057-1063	Frings	_	_	_	_	_	_	_	_	_	_	
1-79	1064-1066	zu	_	_	_	_	_	_	_	_	_	_	
1-80	1067-1075	ersetzen	_	_	_	_	_	_	_	_	_	_	
1-81	1075-1076	.	_	_	_	_	_	_	_	_	_	_	
1-82	1077-1081	Wenn	_	_	_	_	_	_	_	_	_	_	
1-83	1082-1085	ich	_	_	_	_	_	_	_	_	_	_	
1-84	1086-1089	die	_	_	_	_	_	_	_	_	_	_	
1-85	1090-1098	Garantie	_	_	_	_	_	_	_	_	_	_	
1-86	1099-1104	hätte	_	_	_	_	_	_	_	_	_	_	
1-87	1104-1105	,	_	_	_	_	_	_	_	_	_	_	
1-88	1106-1110	dass	_	_	_	_	_	_	_	_	_	_	
1-89	1111-1114	wir	_	_	_	_	_	_	_	_	_	_	
1-90	1115-1119	nach	_	_	_	_	_	_	_	_	_	_	
1-91	1120-1125	einem	_	_	_	_	_	_	_	_	_	_	
1-92	1126-1138	vermasselten	_	_	_	_	_	_	_	_	_	_	
1-93	1139-1144	Start	_	_	_	_	_	_	_	_	_	_	
1-94	1145-1151	wieder	_	_	_	_	_	_	_	_	_	_	
1-95	1152-1154	im	_	_	_	_	_	_	_	_	_	_	
1-96	1155-1163	UEFA-Cup	_	_	_	_	_	_	_	_	_	_	
1-97	1164-1170	landen	_	_	_	_	_	_	_	_	_	_	
1-98	1170-1171	,	_	_	_	_	_	_	_	_	_	_	
1-99	1172-1176	wäre	_	_	_	_	_	_	_	_	_	_	
1-100	1177-1180	ich	_	_	_	_	_	_	_	_	_	_	
1-101	1181-1191	gelassener	_	_	_	_	_	_	_	_	_	_	
1-102	1191-1192	.	_	_	_	_	_	_	_	_	_	_	

#Text=T02/AUG.41615 die tageszeitung, 29.08.2002, S. 18, Ressort: Flimmern und Rauschen; "Medienpolitik findet nicht statt" ### Das ist in Teilen sicherlich glaubwürdig. Die WAZ-Geschäftsführung ist zuallererst an hohen Gewinnen interessiert, in die publizistische Linie ihrer Zeitungen haben sie sich nie eingemischt. ### Aber: Die #Gefahr# der Beeinflussung bei so einem großen Marktanteil ist doch in jedem Fall gegeben, auch bei der WAZ. ### Vielleicht nicht heute, aber vielleicht morgen unter einer ganz anderen Geschäftsführung.
2-1	1856-1859	T02	_	_	_	_	_	_	_	_	_	_	
2-2	1859-1860	/	_	_	_	_	_	_	_	_	_	_	
2-3	1860-1863	AUG	_	_	_	_	_	_	_	_	_	_	
2-4	1863-1869	.41615	_	_	_	_	_	_	_	_	_	_	
2-5	1870-1873	die	_	_	_	_	_	_	_	_	_	_	
2-6	1874-1886	tageszeitung	_	_	_	_	_	_	_	_	_	_	
2-7	1886-1887	,	_	_	_	_	_	_	_	_	_	_	
2-8	1888-1898	29.08.2002	_	_	_	_	_	_	_	_	_	_	
2-9	1898-1899	,	_	_	_	_	_	_	_	_	_	_	
2-10	1900-1901	S	_	_	_	_	_	_	_	_	_	_	
2-11	1901-1902	.	_	_	_	_	_	_	_	_	_	_	
2-12	1903-1905	18	_	_	_	_	_	_	_	_	_	_	
2-13	1905-1906	,	_	_	_	_	_	_	_	_	_	_	
2-14	1907-1914	Ressort	_	_	_	_	_	_	_	_	_	_	
2-15	1914-1915	:	_	_	_	_	_	_	_	_	_	_	
2-16	1916-1924	Flimmern	_	_	_	_	_	_	_	_	_	_	
2-17	1925-1928	und	_	_	_	_	_	_	_	_	_	_	
