#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=T03/JUN.27676 die tageszeitung, 06.06.2003, S. 12, Ressort: Meinung und Diskussion; Ohne Basis ### Im malaysischen und indonesischen Kontext bedeutet dies, eine neue Stimme des Islam zu entwickeln, die sich universalistischer und humanitärer Prinzipien verpflichtet fühlt und den Missbrauch der Macht im In- und Ausland kritisiert. Das würde eine Schule des islamischen Denkens bedeuten, die bereit wäre, Themen wie Demokratie, Zivilgesellschaft, Geschlechterpolitik und wirtschaftliche Gerechtigkeit unter ihre Fittiche zu nehmen. Das müsste auch eine Schule islamischen Denkens sein, die konstant die Machenschaften von Macht auf globaler Ebene verdammt und zugleich die Wege aufdeckt, wie sich die Geopolitik direkt und schädlich auf die Politik zu Hause auswirkt. Es reicht nicht, wenn sich progressive Muslime nur über die Radikalität und Militanz der Konservativen beschweren. ### Sie müssen selbst zeigen, wie die universellen Prinzipien von #Gerechtigkeit,# Gleichheit und sozialer Ordnung des Islam in konkrete politische, wirtschaftliche und soziale Programme übersetzt werden können und die den Weg öffnen für eine demokratischere und inklusivere Form der Politik. ###
1-1	643-646	T03	_	_	_	_	_	_	_	_	_	_	
1-2	646-647	/	_	_	_	_	_	_	_	_	_	_	
1-3	647-650	JUN	_	_	_	_	_	_	_	_	_	_	
1-4	650-656	.27676	_	_	_	_	_	_	_	_	_	_	
1-5	657-660	die	_	_	_	_	_	_	_	_	_	_	
1-6	661-673	tageszeitung	_	_	_	_	_	_	_	_	_	_	
1-7	673-674	,	_	_	_	_	_	_	_	_	_	_	
1-8	675-685	06.06.2003	_	_	_	_	_	_	_	_	_	_	
1-9	685-686	,	_	_	_	_	_	_	_	_	_	_	
1-10	687-688	S	_	_	_	_	_	_	_	_	_	_	
1-11	688-689	.	_	_	_	_	_	_	_	_	_	_	
1-12	690-692	12	_	_	_	_	_	_	_	_	_	_	
1-13	692-693	,	_	_	_	_	_	_	_	_	_	_	
1-14	694-701	Ressort	_	_	_	_	_	_	_	_	_	_	
1-15	701-702	:	_	_	_	_	_	_	_	_	_	_	
1-16	703-710	Meinung	_	_	_	_	_	_	_	_	_	_	
1-17	711-714	und	_	_	_	_	_	_	_	_	_	_	
1-18	715-725	Diskussion	_	_	_	_	_	_	_	_	_	_	
1-19	725-726	;	_	_	_	_	_	_	_	_	_	_	
1-20	727-731	Ohne	_	_	_	_	_	_	_	_	_	_	
1-21	732-737	Basis	_	_	_	_	_	_	_	_	_	_	
1-22	738-739	#	_	_	_	_	_	_	_	_	_	_	
1-23	739-740	#	_	_	_	_	_	_	_	_	_	_	
1-24	740-741	#	_	_	_	_	_	_	_	_	_	_	
1-25	742-744	Im	_	_	_	_	_	_	_	_	_	_	
1-26	745-757	malaysischen	_	_	_	_	_	_	_	_	_	_	
1-27	758-761	und	_	_	_	_	_	_	_	_	_	_	
1-28	762-775	indonesischen	_	_	_	_	_	_	_	_	_	_	
1-29	776-783	Kontext	_	_	_	_	_	_	_	_	_	_	
1-30	784-792	bedeutet	_	_	_	_	_	_	_	_	_	_	
1-31	793-797	dies	_	_	_	_	_	_	_	_	_	_	
1-32	797-798	,	_	_	_	_	_	_	_	_	_	_	
1-33	799-803	eine	_	_	_	_	_	_	_	_	_	_	
1-34	804-808	neue	_	_	_	_	_	_	_	_	_	_	
1-35	809-815	Stimme	_	_	_	_	_	_	_	_	_	_	
1-36	816-819	des	_	_	_	_	_	_	_	_	_	_	
