#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=T01/JUN.29754 die tageszeitung, 23.06.2001, S. 14, Ressort: Meinung und Diskussion; Rendite ist unmoralisch ### Viele Ökoprojekte wären in den letzten dreizehn Jahren ohne „Turnschuhbank” nicht realisierbar gewesen. ### Wer jetzt alle ÖkobänkerInnen mit dem Prädikat „schlecht gewirtschaftet” abstempelt, wird den fast hundert engagierten Beschäftigten und den vielen ehrenamtlichen GenossInnen nicht #gerecht.# Auch das teilweise zweistellige Bilanzwachstum der letzten Jahre spricht deutliche Worte. ### Am Platzen von Großkrediten können nicht alle schuldig sein. TOM ACKERMANN, Erlangen
1-1	1220-1223	T01	_	_	_	_	_	_	_	_	_	_	
1-2	1223-1224	/	_	_	_	_	_	_	_	_	_	_	
1-3	1224-1227	JUN	_	_	_	_	_	_	_	_	_	_	
1-4	1227-1233	.29754	_	_	_	_	_	_	_	_	_	_	
1-5	1234-1237	die	_	_	_	_	_	_	_	_	_	_	
1-6	1238-1250	tageszeitung	_	_	_	_	_	_	_	_	_	_	
1-7	1250-1251	,	_	_	_	_	_	_	_	_	_	_	
1-8	1252-1262	23.06.2001	_	_	_	_	_	_	_	_	_	_	
1-9	1262-1263	,	_	_	_	_	_	_	_	_	_	_	
1-10	1264-1265	S	_	_	_	_	_	_	_	_	_	_	
1-11	1265-1266	.	_	_	_	_	_	_	_	_	_	_	
1-12	1267-1269	14	_	_	_	_	_	_	_	_	_	_	
1-13	1269-1270	,	_	_	_	_	_	_	_	_	_	_	
1-14	1271-1278	Ressort	_	_	_	_	_	_	_	_	_	_	
1-15	1278-1279	:	_	_	_	_	_	_	_	_	_	_	
1-16	1280-1287	Meinung	_	_	_	_	_	_	_	_	_	_	
1-17	1288-1291	und	_	_	_	_	_	_	_	_	_	_	
1-18	1292-1302	Diskussion	_	_	_	_	_	_	_	_	_	_	
1-19	1302-1303	;	_	_	_	_	_	_	_	_	_	_	
1-20	1304-1311	Rendite	_	_	_	_	_	_	_	_	_	_	
1-21	1312-1315	ist	_	_	_	_	_	_	_	_	_	_	
1-22	1316-1327	unmoralisch	_	_	_	_	_	_	_	_	_	_	
1-23	1328-1329	#	_	_	_	_	_	_	_	_	_	_	
1-24	1329-1330	#	_	_	_	_	_	_	_	_	_	_	
1-25	1330-1331	#	_	_	_	_	_	_	_	_	_	_	
1-26	1332-1337	Viele	_	_	_	_	_	_	_	_	_	_	
1-27	1338-1349	Ökoprojekte	_	_	_	_	_	_	_	_	_	_	
1-28	1350-1355	wären	_	_	_	_	_	_	_	_	_	_	
1-29	1356-1358	in	_	_	_	_	_	_	_	_	_	_	
1-30	1359-1362	den	_	_	_	_	_	_	_	_	_	_	
1-31	1363-1370	letzten	_	_	_	_	_	_	_	_	_	_	
1-32	1371-1379	dreizehn	_	_	_	_	_	_	_	_	_	_	
1-33	1380-1386	Jahren	_	_	_	_	_	_	_	_	_	_	
1-34	1387-1391	ohne	_	_	_	_	_	_	_	_	_	_	
1-35	1392-1393	„	_	_	_	_	_	_	_	_	_	_	
1-36	1393-1406	Turnschuhbank	_	_	_	_	_	_	_	_	_	_	
1-37	1406-1407	”	_	_	_	_	_	_	_	_	_	_	
1-38	1408-1413	nicht	_	_	_	_	_	_	_	_	_	_	
1-39	1414-1426	realisierbar	_	_	_	_	_	_	_	_	_	_	
1-40	1427-1434	gewesen	_	_	_	_	_	_	_	_	_	_	
1-41	1434-1435	.	_	_	_	_	_	_	_	_	_	_	
1-42	1436-1437	#	_	_	_	_	_	_	_	_	_	_	
1-43	1437-1438	#	_	_	_	_	_	_	_	_	_	_	
1-44	1438-1439	#	_	_	_	_	_	_	_	_	_	_	
1-45	1440-1443	Wer	*[1]	Moralisierung explizit[1]	*[1]	ÖkobänklerInnen sollen nicht abgestempelt werden.[1]	*[1]	Darstellung[1]	*[1]	*[1]	*[1]	*[1]	
1-46	1444-1449	jetzt	*[1]	Moralisierung explizit[1]	*[1]	ÖkobänklerInnen sollen nicht abgestempelt werden.[1]	*[1]	Darstellung[1]	*[1]	*[1]	*[1]	*[1]	
1-47	1450-1454	alle	*[1]	Moralisierung explizit[1]	*[1]	ÖkobänklerInnen sollen nicht abgestempelt werden.[1]	*[1]	Darstellung[1]	*[1]	*[1]	*[1]	*[1]	
