#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=PBW/W15.00002 Protokoll der Sitzung des Parlaments Landtag von Baden-Württemberg am 12.05.2011. 2. Sitzung der 15. Wahlperiode 2011-. Plenarprotokoll, Stuttgart, 2011 ### ### Ich will eindringlich vor solchen Handlungen warnen, weil die #Gefahr# einer Ungültigkeit der Wahl ins Haus steht. ### Wir alle sollten wissen, dass der Grundsatz der geheimen Wahl ein Verfassungsgrundsatz ist. Das Wahlgeheimnis ist kein verzichtbares Recht des Wählers, sondern ein unabdingbarer Bestandteil der verfassungsmäßigen Ordnung.
1-1	799-802	PBW	_	_	_	_	_	_	_	_	_	_	
1-2	802-803	/	_	_	_	_	_	_	_	_	_	_	
1-3	803-812	W15.00002	_	_	_	_	_	_	_	_	_	_	
1-4	813-822	Protokoll	_	_	_	_	_	_	_	_	_	_	
1-5	823-826	der	_	_	_	_	_	_	_	_	_	_	
1-6	827-834	Sitzung	_	_	_	_	_	_	_	_	_	_	
1-7	835-838	des	_	_	_	_	_	_	_	_	_	_	
1-8	839-849	Parlaments	_	_	_	_	_	_	_	_	_	_	
1-9	850-857	Landtag	_	_	_	_	_	_	_	_	_	_	
1-10	858-861	von	_	_	_	_	_	_	_	_	_	_	
1-11	862-879	Baden-Württemberg	_	_	_	_	_	_	_	_	_	_	
1-12	880-882	am	_	_	_	_	_	_	_	_	_	_	
1-13	883-893	12.05.2011	_	_	_	_	_	_	_	_	_	_	
1-14	893-894	.	_	_	_	_	_	_	_	_	_	_	
1-15	895-896	2	_	_	_	_	_	_	_	_	_	_	
1-16	896-897	.	_	_	_	_	_	_	_	_	_	_	
1-17	898-905	Sitzung	_	_	_	_	_	_	_	_	_	_	
1-18	906-909	der	_	_	_	_	_	_	_	_	_	_	
1-19	910-912	15	_	_	_	_	_	_	_	_	_	_	
1-20	912-913	.	_	_	_	_	_	_	_	_	_	_	
1-21	914-925	Wahlperiode	_	_	_	_	_	_	_	_	_	_	
1-22	926-930	2011	_	_	_	_	_	_	_	_	_	_	
1-23	930-931	-	_	_	_	_	_	_	_	_	_	_	
1-24	931-932	.	_	_	_	_	_	_	_	_	_	_	
1-25	933-948	Plenarprotokoll	_	_	_	_	_	_	_	_	_	_	
1-26	948-949	,	_	_	_	_	_	_	_	_	_	_	
1-27	950-959	Stuttgart	_	_	_	_	_	_	_	_	_	_	
1-28	959-960	,	_	_	_	_	_	_	_	_	_	_	
1-29	961-965	2011	_	_	_	_	_	_	_	_	_	_	
1-30	966-967	#	_	_	_	_	_	_	_	_	_	_	
1-31	967-968	#	_	_	_	_	_	_	_	_	_	_	
1-32	968-969	#	_	_	_	_	_	_	_	_	_	_	
1-33	970-971	#	_	_	_	_	_	_	_	_	_	_	
1-34	971-972	#	_	_	_	_	_	_	_	_	_	_	
1-35	972-973	#	_	_	_	_	_	_	_	_	_	_	
1-36	974-977	Ich	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-37	978-982	will	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-38	983-995	eindringlich	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-39	996-999	vor	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-40	1000-1007	solchen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-41	1008-1018	Handlungen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-42	1019-1025	warnen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-43	1025-1026	,	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-44	1027-1031	weil	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-45	1032-1035	die	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-46	1036-1037	#	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-47	1037-1043	Gefahr	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-48	1043-1044	#	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-49	1045-1050	einer	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-50	1051-1063	Ungültigkeit	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-51	1064-1067	der	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-52	1068-1072	Wahl	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-53	1073-1076	ins	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-54	1077-1081	Haus	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-55	1082-1087	steht	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-56	1087-1088	.	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-57	1089-1090	#	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-58	1090-1091	#	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-59	1091-1092	#	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-60	1093-1096	Wir	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-61	1097-1101	alle	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-62	1102-1109	sollten	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-63	1110-1116	wissen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-64	1116-1117	,	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-65	1118-1122	dass	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-66	1123-1126	der	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-67	1127-1136	Grundsatz	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-68	1137-1140	der	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-69	1141-1149	geheimen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-70	1150-1154	Wahl	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-71	1155-1158	ein	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-72	1159-1179	Verfassungsgrundsatz	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-73	1180-1183	ist	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-74	1183-1184	.	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-75	1185-1188	Das	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-76	1189-1202	Wahlgeheimnis	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-77	1203-1206	ist	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-78	1207-1211	kein	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-79	1212-1225	verzichtbares	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-80	1226-1231	Recht	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-81	1232-1235	des	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-82	1236-1243	Wählers	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-83	1243-1244	,	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-84	1245-1252	sondern	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-85	1253-1256	ein	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-86	1257-1270	unabdingbarer	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-87	1271-1282	Bestandteil	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-88	1283-1286	der	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
1-89	1287-1305	verfassungsmäßigen	*[1]	Keine Moralisierung[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	*[1]	
