#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|Forderung|KAT1MoralisierendesSegment|KAT2Subjektive_Ausdrcke|KAT5Ausformulierung|KOMMENTAR|KommunikativeFunktion|Moralwerte|Protagonistinnen|Protagonistinnen2|Protagonistinnen3


#Text=PBT/W17.00188 Protokoll der Sitzung des Parlaments Deutscher Bundestag am 29.06.2012. 188. Sitzung der 17. Wahlperiode 2009-. Plenarprotokoll, Berlin, 2012 ### ### Die Frage nach Europa ist die Frage nach den Grundlagen unserer geschichtlichen Existenz, nach dem historischen Auftrag der europäischen Völker, die in abendländischer Kulturtradition, in moderner Zivilisation, in rechtsstaatlicher #Ordnung,# kurzum in Freiheit leben wollen. ### Europa ist für uns ein ebenso langfristig geschichtliches wie Tag für Tag brennend aktuelles Thema.
1-1	1469-1472	PBT	_	_	_	_	_	_	_	_	_	_	
1-2	1472-1473	/	_	_	_	_	_	_	_	_	_	_	
1-3	1473-1482	W17.00188	_	_	_	_	_	_	_	_	_	_	
1-4	1483-1492	Protokoll	_	_	_	_	_	_	_	_	_	_	
1-5	1493-1496	der	_	_	_	_	_	_	_	_	_	_	
1-6	1497-1504	Sitzung	_	_	_	_	_	_	_	_	_	_	
1-7	1505-1508	des	_	_	_	_	_	_	_	_	_	_	
1-8	1509-1519	Parlaments	_	_	_	_	_	_	_	_	_	_	
1-9	1520-1529	Deutscher	_	_	_	_	_	_	_	_	_	_	
1-10	1530-1539	Bundestag	_	_	_	_	_	_	_	_	_	_	
1-11	1540-1542	am	_	_	_	_	_	_	_	_	_	_	
1-12	1543-1553	29.06.2012	_	_	_	_	_	_	_	_	_	_	
1-13	1553-1554	.	_	_	_	_	_	_	_	_	_	_	
1-14	1555-1558	188	_	_	_	_	_	_	_	_	_	_	
1-15	1558-1559	.	_	_	_	_	_	_	_	_	_	_	
1-16	1560-1567	Sitzung	_	_	_	_	_	_	_	_	_	_	
1-17	1568-1571	der	_	_	_	_	_	_	_	_	_	_	
1-18	1572-1574	17	_	_	_	_	_	_	_	_	_	_	
1-19	1574-1575	.	_	_	_	_	_	_	_	_	_	_	
1-20	1576-1587	Wahlperiode	_	_	_	_	_	_	_	_	_	_	
1-21	1588-1592	2009	_	_	_	_	_	_	_	_	_	_	
1-22	1592-1593	-	_	_	_	_	_	_	_	_	_	_	
1-23	1593-1594	.	_	_	_	_	_	_	_	_	_	_	
1-24	1595-1610	Plenarprotokoll	_	_	_	_	_	_	_	_	_	_	
1-25	1610-1611	,	_	_	_	_	_	_	_	_	_	_	
1-26	1612-1618	Berlin	_	_	_	_	_	_	_	_	_	_	
1-27	1618-1619	,	_	_	_	_	_	_	_	_	_	_	
1-28	1620-1624	2012	_	_	_	_	_	_	_	_	_	_	
1-29	1625-1626	#	_	_	_	_	_	_	_	_	_	_	
1-30	1626-1627	#	_	_	_	_	_	_	_	_	_	_	
1-31	1627-1628	#	_	_	_	_	_	_	_	_	_	_	
1-32	1629-1630	#	_	_	_	_	_	_	_	_	_	_	
1-33	1630-1631	#	_	_	_	_	_	_	_	_	_	_	
1-34	1631-1632	#	_	_	_	_	_	_	_	_	_	_	
1-35	1633-1636	Die	*[1]	Moralisierung explizit[1]	*[1]	Wir müssen uns unserem historischen Auftrag des europäischen Gedankens nach Freiheit bewusst werden und diesen umsetzen.[1]	*[1]	Beziehung[1]	*[1]	*[1]	*[1]	*[1]	
1-36	1637-1642	Frage	*[1]	Moralisierung explizit[1]	*[1]	Wir müssen uns unserem historischen Auftrag des europäischen Gedankens nach Freiheit bewusst werden und diesen umsetzen.[1]	*[1]	Beziehung[1]	*[1]	*[1]	*[1]	*[1]	
1-37	1643-1647	nach	*[1]	Moralisierung explizit[1]	*[1]	Wir müssen uns unserem historischen Auftrag des europäischen Gedankens nach Freiheit bewusst werden und diesen umsetzen.[1]	*[1]	Beziehung[1]	*[1]	*[1]	*[1]	*[1]	
1-38	1648-1654	Europa	*[1]	Moralisierung explizit[1]	*[1]	Wir müssen uns unserem historischen Auftrag des europäischen Gedankens nach Freiheit bewusst werden und diesen umsetzen.[1]	*[1]	Beziehung[1]	*[1]	*[1]	*[1]	*[1]	
1-39	1655-1658	ist	*[1]	Moralisierung explizit[1]	*[1]	Wir müssen uns unserem historischen Auftrag des europäischen Gedankens nach Freiheit bewusst werden und diesen umsetzen.[1]	*[1]	Beziehung[1]	*[1]	*[1]	*[1]	*[1]	
